,wavfile,duration,duration_0_spk,duration_1_spk,duration_2_spk,duration_3_spk,n_spk,speakers,sex,session,location,transcription
68,S01_P04_27_output.wav,4.11,0.72,2.99,0.40,0.00,2,P01 P02 P03,FM,S01,living,(P02) Um I think we need to move. Little bit. (P03) Oh really? (P01) Oh. (P02) Yeah just move over a little bit. 
12,S01_P01_18_output.wav,4.00,0.92,1.24,1.84,0.00,2,P03 P04,FM,S01,kitchen,"(P03) Yeah. (P04) I think this is how you [inaudible 0:22:48.81]? (P03) I think it should be easier, yeah. "
29,S01_P02_16_output.wav,4.99,0.78,1.33,2.88,0.00,2,P01 P03 P04,FM,S01,kitchen,"(P03) Oh you should just like uh, it's like a pop off cork. (P04) Oh actually you don't.  Yeah.  Oh we can't do, you can't, oh. (P01) Oh. How does it (P04) Mm think "
80,S01_P04_41_output.wav,4.99,1.72,2.81,0.46,0.00,2,P01 P02 P03,FM,S01,kitchen,"(P02) [inaudible 0:06:10.32] (P01) What's the bowl for again? (P03) I don't know. (P02) Here you go. (P01) Oh, okay. "
83,S01_P04_44_output.wav,4.99,1.00,2.01,1.98,0.00,2,P01 P02 P03,FM,S01,kitchen,(P01) non alcoholic (P02) Sparkling (P01) [laughs] sparkling juice. (P02) Sparkling juice? (P03) Is that this one here? (P01) Yep. 
99,S21_P45_2_output.wav,4.99,1.10,3.23,0.66,0.00,2,P46 P47 P48,FM,S21,dining,"(P47) [noise] You should come play tennis one day. (P46) [noise] I know. (P48) [noise] Sure, I'll play. "
171,S21_P47_1_output.wav,4.99,0.79,4.20,0.00,0.00,1,P45 P46,FM,S21,dining,"(P46) Are you going to try TO make it on your own one time, Bennett? (P45) [noise] Mm, maybe.  [noise] "
109,S21_P45_13_output.wav,4.23,0.94,3.29,0.00,0.00,1,P46 P47,FM,S21,living,"(P47) Oh, good thing I asked. (P46) Doesn't it? (P47) Can you double check before I play my card? "
177,S21_P47_7_output.wav,4.99,1.29,1.57,2.13,0.00,2,P45 P46 P48,FM,S21,living,(P45) Nigiri. (P46) Chopsticks. (P45) Ah! You took my dumpling! (P46) Mhm. (P48) Yeah? 
105,S21_P45_8_output.wav,4.99,0.96,1.86,1.57,0.60,3,P46 P47 P48,FM,S21,living,"(P48) I have three, eight. Yeah. (P47) Eight.  Nine. (P46) Nine. "
102,S21_P45_5_output.wav,4.99,1.33,2.58,1.08,0.00,2,P46 P47,FM,S21,living,(P47) Say it. (P46) Sushi go.  Puddings. [laughs] (P47) [laughs] 
175,S21_P47_5_output.wav,4.99,1.02,3.02,0.95,0.00,2,P45 P46,FM,S21,living,"(P46) No, I don't think it was living. (P45) Little aphids? (P46) Was it like a cartoon or something? "
131,S21_P45_40_output.wav,4.80,1.25,3.55,0.00,0.00,1,P46 P48,F,S21,living,(P46) Let's see.  There i- are six wasabi cards. (P48) Okay. 
157,S21_P46_23_output.wav,4.99,0.76,4.23,0.00,0.00,1,P47,M,S21,living,"(P47) I don't have that much.  All I know is I got six.  You minus six, whatever you have. "
119,S21_P45_24_output.wav,4.75,0.55,2.80,1.40,0.00,2,P46 P47,FM,S21,kitchen,"(P47) It's a girl thing where they do this [noise]. (P46) Oh, member, member [inaudible 0:22:03.60] last year? (P47) Oh, gosh. (P46) Was that my braid? "
124,S21_P45_32_output.wav,4.54,1.53,2.08,0.93,0.00,2,P45 P46 P47,FM,S21,kitchen,"(P45) Oh, I'm full. [noise] (P46) I knew this would happen. (P47) You're full?  You only had two pieces. "
126,S21_P45_34_output.wav,4.93,0.91,3.10,0.92,0.00,2,P46 P47,FM,S21,kitchen,"(P47) Yeah, that's why don't we socialize or something?  Is that what it's called? (P46) Well, I do we want  Basher, are you gonna wash the dishes or what? "
149,S21_P46_14_output.wav,4.69,1.41,1.69,1.59,0.00,2,P46 P47 P48,FM,S21,kitchen,"(P46) You said, ""I usually eat two or three."" (P47) That's pretty small. No wonder he's so thin. (P48) Wh- are we having banana splits for dessert? "
186,S21_P47_17_output.wav,4.83,1.10,3.73,0.00,0.00,1,P45 P46,FM,S21,kitchen,"(P45) Oh, okay.  Five minutes, that's it. (P46) Oh, okay, fine, then we'll put it in towards the end. "
122,S21_P45_27_output.wav,4.31,0.51,1.54,2.26,0.00,2,P46 P47 P48,FM,S21,kitchen,"(P48) I want to go to washroom, but I'm not going to. (P46) Whipping my head? (P47) Yeah. (P46) Okay, I think this can go on the table. (P47) I think that's just habit now Tia. "
164,S21_P46_33_output.wav,4.99,1.67,3.32,0.00,0.00,1,P45 P47,M,S21,kitchen,(P47) Why is there a bottle cap inside your recycling? (P45) I dunno. 
