,wavfile,duration,duration_0_spk,duration_1_spk,duration_2_spk,duration_3_spk,n_spk,speakers,sex,session,location,transcription
140,S21_P46_4_output.wav,4.99,1.87,0.60,2.52,0.00,2,P45 P48,FM,S21,living,"(P48) Okay. (P45) Come on! Gimme some good stuff! (P48) Okay, okay, okay. (P45) Gimme some good stuff! "
134,S21_P45_43_output.wav,4.99,0.56,4.43,0.00,0.00,1,P46,F,S21,living,"(P46) Um, I think that I will "
160,S21_P46_27_output.wav,4.99,1.85,3.14,0.00,0.00,1,P45 P47,M,S21,living,"(P47) It's okay, the two rounds are official. (P45) Well, I can shuffle now? "
146,S21_P46_11_output.wav,4.99,1.41,3.24,0.34,0.00,2,P45 P47 P48,FM,S21,kitchen,"(P48) [laughs] (P45) What?  You micromanaging me? (P47) Oh, my god. "
128,S21_P45_36_output.wav,4.99,1.37,1.85,1.77,0.00,2,P46 P47,FM,S21,kitchen,"(P47) Lululemon.  I know somebody that cross fits that works for Lululemon. (P46) Okay, anything else going in here? "
194,S21_P47_27_output.wav,4.16,0.50,2.92,0.74,0.00,2,P45 P46,FM,S21,kitchen,"(P45) I use it to  duh, reheat food. (P46) Okay, do you guys want beans in the meat or no? "
151,S21_P46_16_output.wav,4.99,1.02,3.97,0.00,0.00,1,P47 P48,FM,S21,kitchen,"(P47) Cuz I used to go to a gym a lot, but I started getting really bored. (P48) Mhm. "
193,S21_P47_26_output.wav,4.99,1.13,2.63,1.23,0.00,2,P45 P46,FM,S21,kitchen,"(P45) Two thirds (P46) Ounces is so, um, not, uh, metric. [laughs] "
117,S21_P45_22_output.wav,4.99,1.44,2.08,1.47,0.00,2,P46 P47 P48,FM,S21,kitchen,(P47) Can I should I just call you p forty five? (P48) [laughs] (P46) [laughs]  Thanks. (P48) Thanks. 
169,S21_P46_40_output.wav,4.59,1.10,2.62,0.87,0.00,2,P45 P47,M,S21,kitchen,"(P47) Or do you have, like  That's okay, I guess you can just let it dry. (P45) Yeah, I can find something. (P47) We can get these plates later. "
