,wavfile,duration,duration_0_spk,duration_1_spk,duration_2_spk,duration_3_spk,n_spk,speakers,sex,session,location,transcription
195,S01_P02_7_output.wav,4.81,1.28,1.99,1.54,0.00,2,P01 P03 P04,FM,S01,dining,(P03) Yeah. (P04) No it's kinda far like. (P03) Oh. (P01) Isn't it heavy? I feel like they don't really. 
196,S01_P02_8_output.wav,4.99,1.52,3.01,0.46,0.00,2,P01 P03 P04,FM,S01,living,(P04) [noise] Superman.  No I don't know what that is. (P03) Frog. (P01) Aw man. 
197,S01_P02_9_output.wav,4.99,1.59,2.61,0.79,0.00,2,P01 P03 P04,FM,S01,living,(P01) [noise] (P03) Okay. (P04) Oh wait someone has to be on his team right? 
144,S01_P03_0_output.wav,4.93,1.49,2.32,1.12,0.00,2,P01 P02 P04,F,S01,dining,(P04) Um.  This way. Oh to the side. Okay. (P01) Okay. (P02) [laughs] (P04) Jen. 
153,S01_P03_10_output.wav,4.83,0.81,3.84,0.18,0.00,2,P01 P02,F,S01,dining,(P02) And Kyle installed it for her. (P01) Wait you mean the grip tape? Overgrip? (P02) Mhm. (P01) Oh I can do that for her too. It was awesome. 
154,S01_P03_11_output.wav,4.35,0.53,2.94,0.88,0.00,2,P01 P04,F,S01,dining,(P01) Oh okay. (P04) Um but we'll be out in Richmond so it's gonna be a bit far. (P01) Ah I see. 
155,S01_P03_12_output.wav,4.99,0.93,3.59,0.47,0.00,2,P01 P04,F,S01,dining,(P01) Yeah it's fun. I like it when people get into sports I like. [laughs] (P04) [laughs] 
156,S01_P03_13_output.wav,4.08,0.95,3.13,0.00,0.00,1,P01,F,S01,dining,"(P01) That was mostly why I did it, but.  Yeah and then now it it kinda picked up, so we like have a usual group. "
157,S01_P03_14_output.wav,4.68,0.56,4.12,0.00,0.00,1,P01,F,S01,dining,"(P01) it's nice, everyone, a lot of people are like, ""Oh I wanna get back into tennis.""  So there's different levels for like meetups that you can set, there's beginner ones, like super advanced ones. "
158,S01_P03_15_output.wav,4.99,1.78,0.36,2.44,0.41,3,P01 P02 P04,F,S01,living,(P04) But are there also like different like games you can play with this? (P01) [inaudible 1:48:45.80] cards though. Uh it really doesn't matter. (P02) Um. 
159,S01_P03_16_output.wav,4.71,1.10,3.61,0.00,0.00,1,P01 P04,F,S01,living,(P01) Wait how does this go?  Can't remember. (P04) Looking at  I think there were like different ones. 
145,S01_P03_2_output.wav,4.99,1.34,2.71,0.94,0.00,2,P01 P02 P04,F,S01,dining,(P01) [inaudible 0:25:14.03] (P02) Oh okay. Do you need gr- pass me one more spoon? (P04) Mm. 
146,S01_P03_3_output.wav,4.99,1.89,2.54,0.56,0.00,2,P01 P02,F,S01,dining,"(P01) All right, shall we uh (P02) Okay guys.  Can you pass it. (P01) Oh okay. "
147,S01_P03_4_output.wav,4.99,1.40,3.25,0.34,0.00,2,P01 P04,F,S01,dining,(P01) So all this [inaudible 0:25:51.15] is better than none. (P04) Mhm. (P01) Wonderful. 
148,S01_P03_5_output.wav,4.38,0.91,3.47,0.00,0.00,1,P01 P04,F,S01,dining,"(P01) Yeah. (P04) What else do I need, tomatoes? Actually I'm just gonna walk over. "
149,S01_P03_6_output.wav,4.22,0.63,2.61,0.98,0.00,2,P01 P02,F,S01,dining,(P01) Yeah I didn't know Xiang um was also taking lessons as well.  You guys should play together. (P02) He is? (P01) Yeah. So we have this one coworker (P02) Oh I didn't know that. 
150,S01_P03_7_output.wav,4.55,1.13,2.71,0.71,0.00,2,P01 P02,F,S01,dining,"(P01) Cuz I'm going to Kits  for our work barbecue after, so I'd rather go to (P02) Mhm. (P01) his house then. "
151,S01_P03_8_output.wav,4.99,1.82,3.17,0.00,0.00,1,P01,F,S01,dining,(P01) Yeah.  Yeah. And I know Jordan from Crossfit actually. 
152,S01_P03_9_output.wav,4.88,1.44,3.20,0.24,0.00,2,P01 P04,F,S01,dining,"(P01) Hmm.  I'm just here [inaudible 0:35:09.62] (P04) Oh just so good. (P01) That'd be nice, yeah. "
80,S01_P04_0_output.wav,4.55,0.84,2.03,1.68,0.00,2,P01 P03,FM,S01,dining,"(P03) Does everybody have  well I guess we don't really need cutlery. (P01) Yeah I don't, yeah. (P03) We have cutlery for this part. "
90,S01_P04_10_output.wav,4.78,1.40,3.01,0.37,0.00,2,P01 P03,FM,S01,dining,"(P03) Um.  And then the parade, I watched a little bit of it on Sunday. (P01) Oh nice. "
91,S01_P04_11_output.wav,4.99,1.53,3.46,0.00,0.00,1,P01 P03,FM,S01,dining,"(P01) I've never been to the parade. (P03) It was pretty cool, it was actually just on um "
92,S01_P04_12_output.wav,4.89,1.06,2.99,0.37,0.47,3,P01 P02 P03 P04,FM,S01,dining,"(P04) Before. But it is, it looks pretty nice. (P02) I woulda bought it if we knew it's it would resell for [laughs] (P03) [laughs] (P01) Yeah. "
93,S01_P04_13_output.wav,4.99,0.78,3.89,0.32,0.00,2,P01 P02 P03,FM,S01,dining,(P01) Or uh where Capilano Suspension Bridge is? (P03) Oh okay. (P02) Oh.  [inaudible 0:51:30.78] (P01) Yeah. 
94,S01_P04_14_output.wav,4.99,0.71,2.69,0.96,0.63,3,P01 P02 P03,FM,S01,dining,"(P01) Hiking, hiking (P02) Trying to find each other? (P03) [laughs] (P01) Our group walking towards where they were, cuz we knew where they were. "
95,S01_P04_15_output.wav,4.99,0.96,4.03,0.00,0.00,1,P01 P03,FM,S01,dining,"(P01) Oh she comes out sometimes. But now it's like ten, twelve people? (P03) Mhm. "
96,S01_P04_16_output.wav,4.99,1.41,2.42,1.16,0.00,2,P01 P03,FM,S01,dining,(P01) Did you guys camp out there? (P03) Mm yeah. There was a cabin. (P01) In the tents and everything? 
97,S01_P04_17_output.wav,4.67,0.53,2.43,1.21,0.50,3,P01 P02 P03,FM,S01,dining,"(P03) Mm yeah. There was a cabin. (P02) Oh. (P01) Oh okay. (P03) So you can just get a spot on the (P01) Oh I didn't know they have cabins, oh that's cool. (P03) Mhm. "
98,S01_P04_18_output.wav,4.92,1.75,2.90,0.27,0.00,2,P02 P03,FM,S01,dining,(P02) Did you have like (P03) I had um (P02) Proper shoes and all that. (P03) They were called um  Crampons I think? 
99,S01_P04_19_output.wav,4.99,1.31,3.44,0.24,0.00,2,P01 P03,FM,S01,dining,"(P03) I saw other people doing snowshoeing. (P01) Mm. (P03) But I'd never done snowshoeing before, so. "
81,S01_P04_1_output.wav,4.84,1.41,1.39,2.04,0.00,2,P01 P02 P03,FM,S01,dining,"(P01) Wonderful. (P02) One for you, one for you. (P03) Thank you. (P01) Aw that looks like a bit more space. "
100,S01_P04_20_output.wav,4.99,1.30,3.01,0.68,0.00,2,P02 P03,FM,S01,dining,(P03) Yeah it's good for like uphill. (P02) Mhm. (P03) Climbs. But 
101,S01_P04_21_output.wav,4.49,1.33,1.99,1.17,0.00,2,P01 P03,FM,S01,dining,"(P03) Hmm. (P01) But once we ac- , yeah once we actually start doing it we'll need. (P03) So practical. "
102,S01_P04_22_output.wav,4.64,0.66,2.19,1.79,0.00,2,P02 P03,FM,S01,dining,(P02) But I think they're catching up a little bit. (P03) They've had better branding and public image than Uber has. But (P02) Yeah. Yeah. Yeah. 
103,S01_P04_23_output.wav,4.80,1.15,3.33,0.32,0.00,2,P02 P03,FM,S01,dining,"(P02) Me, like this is the second time I've used Modo um Evo now, so that was an experience. [laughs]  But yeah it's super convenient too. (P03) Yeah. (P02) [inaudible 1:34:06.10] point A to point B. "
104,S01_P04_24_output.wav,4.15,1.12,1.02,2.01,0.00,2,P01 P02 P03 P04,FM,S01,living,(P04) Nail. (P01) Ah. Dinosaur. (P03) Dude. (P02) Guys I'm so stumped. 
105,S01_P04_25_output.wav,4.60,1.42,1.26,1.92,0.00,2,P01 P02 P03,FM,S01,living,(P03) Okay so I'll flip it over.  At the beginning? (P02) One two three. (P01) One two three. 
106,S01_P04_27_output.wav,4.11,0.72,2.99,0.40,0.00,2,P01 P02 P03,FM,S01,living,(P02) Um I think we need to move. Little bit. (P03) Oh really? (P01) Oh. (P02) Yeah just move over a little bit. 
107,S01_P04_28_output.wav,4.99,1.39,2.79,0.81,0.00,2,P01 P02 P03,FM,S01,living,(P03) Oh [inaudible 2:10:04.36] (P01) [inaudible 2:10:03.95] (P02) [laughs] (P03) I dunno if there's any sound. 
108,S01_P04_29_output.wav,4.99,0.55,3.03,1.33,0.08,3,P01 P02 P03,FM,S01,living,"(P01) Um buttering jam, toast, making a sandwich. (P03) Yeah you got it. (P02) Yeah wow. "
82,S01_P04_2_output.wav,4.88,0.96,2.85,1.07,0.00,2,P01 P03,FM,S01,dining,"(P01) Yeah, if you want the real  the real sauce. [laughs] (P03) Real hot.  Hmm. (P01) I take a little bit of this. "
109,S01_P04_31_output.wav,4.42,0.55,2.17,1.00,0.70,3,P01 P02 P03 P04,FM,S01,living,(P04) Oh sorry. Yeah. (P03) Uh god (P01) Oh um. (P02) [noise] I'm so bad at this. 
110,S01_P04_32_output.wav,4.99,1.78,3.21,0.00,0.00,1,P02 P03,FM,S01,living,"(P03) Accents, icons legends stars? (P02) Let's do accents. "
111,S01_P04_33_output.wav,4.33,0.58,3.71,0.04,0.00,2,P01 P03,FM,S01,living,"(P03) All right Jen you're up. What category do you want?  Let's do music, you must know music, right? (P01) Oh no I'm pretty bad with music too. "
112,S01_P04_34_output.wav,4.99,1.51,2.41,1.07,0.00,2,P01 P03,FM,S01,living,(P03) Okay.  Uh how bout we (P01) Do something that we're acting or talking. 
113,S01_P04_35_output.wav,4.94,0.86,2.55,1.53,0.00,2,P01 P03,FM,S01,living,"(P03) Mhm. (P01) [laughs] Uh yeah we can keep going, or (P03) Do you wanna keep going? Or "
114,S01_P04_36_output.wav,4.99,1.04,0.87,1.58,1.50,3,P01 P02 P03,FM,S01,living,"(P01) Uh I don't know this, skip skip. (P03) Oh I know this name. But like skip (P02) Oh I don't know. "
115,S01_P04_37_output.wav,4.61,1.18,0.92,0.42,2.09,3,P01 P02 P03,FM,S01,living,"(P03) N- no, pass just pass. [noise] (P01) I don't know. Yeah. (P02) Oh I don't know. Yeah. (P03) I know the name, I don't know what that person is. "
116,S01_P04_38_output.wav,4.10,0.84,3.20,0.06,0.00,2,P01 P03,FM,S01,living,(P03) Yeah. (P01) [noise] (P03) Do you wanna keep going? Another one? 
117,S01_P04_39_output.wav,4.99,1.10,0.58,3.02,0.29,3,P01 P02 P03,FM,S01,living,"(P01) Oh they fight in in Rome. (P02) Oh they fight, they have big armor. Yeah. (P03) Oh oh Gladiator. (P01) Yeah. "
83,S01_P04_3_output.wav,4.99,1.14,2.07,1.33,0.45,3,P01 P02 P03,FM,S01,dining,(P03) Hmm. (P01) Good old memories from university. [laughs] (P02) [laughs] (P03) Mhm. (P02) [laughs] 
118,S01_P04_40_output.wav,4.30,0.81,2.91,0.58,0.00,2,P01 P02 P03,FM,S01,kitchen,"(P01) Yeah, we can just heat it up. (P03) Sure. (P01) Yeah. (P02) We can mi- , do you wanna mix some of it now?  With the beef or no? "
119,S01_P04_41_output.wav,4.99,1.72,2.81,0.46,0.00,2,P01 P02 P03,FM,S01,kitchen,"(P02) [inaudible 0:06:10.32] (P01) What's the bowl for again? (P03) I don't know. (P02) Here you go. (P01) Oh, okay. "
120,S01_P04_42_output.wav,4.99,1.86,3.01,0.12,0.00,2,P01 P03,FM,S01,kitchen,(P01) Ooh. (P03) All right. So I've got the beans open now. (P01) Oh awesome. 
121,S01_P04_43_output.wav,4.99,0.69,3.22,1.08,0.00,2,P01 P03,FM,S01,kitchen,"(P03) What are we all drinking? Is there any, is it just water or we have anything else? (P01) We do have a bottle of "
122,S01_P04_44_output.wav,4.99,1.00,2.01,1.98,0.00,2,P01 P02 P03,FM,S01,kitchen,(P01) non alcoholic (P02) Sparkling (P01) [laughs] sparkling juice. (P02) Sparkling juice? (P03) Is that this one here? (P01) Yep. 
123,S01_P04_45_output.wav,4.99,0.97,2.28,1.74,0.00,2,P01 P02 P03,FM,S01,kitchen,"(P01) Yeah I guess this is, yeah sure. (P02) If you can open it (P03) Mm, yeah sure. (P01) I guess we're almost done, there's also salad as well if you wanna "
124,S01_P04_46_output.wav,4.46,0.80,2.25,0.64,0.77,3,P01 P02 P03,FM,S01,kitchen,"(P01) I guess we're almost done, there's also salad as well if you wanna  toss it. [laughs] (P03) Oh. Into a bowl you mean? (P02) Do you want a bit more? (P01) Yeah.  Yeah. "
125,S01_P04_47_output.wav,4.30,1.19,1.69,1.42,0.00,2,P01 P03,FM,S01,kitchen,"(P01) Yeah. (P03) K [inaudible 0:11:07.70] salad. (P01) And there's uh dressing as well I think. (P03) Ooh, great. "
126,S01_P04_48_output.wav,4.99,1.54,3.38,0.07,0.00,2,P01 P03,FM,S01,kitchen,(P03) There's actually two dressings. There's greek and caesar. (P01) Yeah we just 
127,S01_P04_49_output.wav,4.97,1.63,3.07,0.27,0.00,2,P01 P02 P03,FM,S01,kitchen,"(P03) Okay. (P01) Oh I see yeah, cuz we have one one bowl right? (P03) Like  Yeah. (P02) Oh. "
84,S01_P04_4_output.wav,4.99,1.78,3.15,0.06,0.00,2,P01 P03,FM,S01,dining,"(P03) It's really good.  I really like Louise, she's a really good teacher. (P01) Mm. "
128,S01_P04_50_output.wav,4.00,0.71,2.50,0.79,0.00,2,P01 P02 P03,FM,S01,kitchen,"(P01) Okay.  That's small. (P02) Put it in the bowl? (P03) I'll just leave this in the fridge then, for now. (P01) Okay. "
129,S01_P04_51_output.wav,4.29,1.23,2.03,1.03,0.00,2,P01 P02 P03,FM,S01,kitchen,"(P03) Is there a pair of salad tong anywhere? (P01) Hmm? (P03) Salad tongs for like mixing (P01) Oh, salad tongs. (P02) Great question. "
130,S01_P04_52_output.wav,4.07,1.01,0.67,1.19,1.20,3,P01 P02 P03,FM,S01,kitchen,"(P01) Think I put the shells somewhere, but I can't  Oh here they are. (P02) Aren't they in the box? Oh [inaudible 15:46.24] (P03) Hmm yeah I didn't put in all the dressing. (P01) Yeah. "
131,S01_P04_53_output.wav,4.99,1.33,3.18,0.48,0.00,2,P01 P03,FM,S01,kitchen,(P03) Should we get the cheese in a bowl? It'd be easier to (P01) Yeah sure it's [inaudible 0:15:58.61] here. (P03) Thanks. 
132,S01_P04_54_output.wav,4.99,1.96,2.96,0.07,0.00,2,P02 P03,FM,S01,kitchen,(P03) I'll keep the dressing in case. There's a little bit here. (P02) Okay. 
133,S01_P04_55_output.wav,4.99,1.94,3.01,0.04,0.00,2,P01 P03,FM,S01,kitchen,(P01) Do you wanna take those plates back to the (P03) I can take that one. 
134,S01_P04_56_output.wav,4.99,1.81,2.05,1.13,0.00,2,P02 P03,FM,S01,kitchen,"(P03) Yeah I'll take this one out, put it in uh (P02) Okay. That'll probably fit in this one. (P03) Yeah. "
135,S01_P04_57_output.wav,4.99,0.53,2.40,2.01,0.05,3,P01 P02 P03,FM,S01,kitchen,(P01) [inaudible 1:39:15.70] Good enough [inaudible 1:39:18.32] (P02) Good enough.  Can I have [inaudible 1:39:18.24] (P03) Coming behind you. 
136,S01_P04_58_output.wav,4.99,0.79,0.34,3.09,0.77,3,P01 P02 P03,FM,S01,kitchen,"(P02) I don't know, gonna be [inaudible 1:41:50.73] (P03) Like like this? (P01) [laughs] Oh we can try, this one or Spot It. "
137,S01_P04_59_output.wav,4.83,1.47,3.36,0.00,0.00,1,P01 P03,M,S01,dining,"(P01) Oh okay. [inaudible 0:50:04.46] (P03) They just featured like a lot of different  Nationalities, um "
85,S01_P04_5_output.wav,4.99,1.11,2.96,0.92,0.00,2,P01 P03,FM,S01,dining,"(P01) I really wanna, yeah. (P03) Improve? I know, it's fun yeah. (P01) Yeah like. "
138,S01_P04_60_output.wav,4.99,1.46,3.53,0.00,0.00,1,P03,M,S01,dining,"(P03) So your entire Whats, like your tennis WhatsApp, like how many people are in that? "
139,S01_P04_61_output.wav,4.61,0.65,3.96,0.00,0.00,1,P03,M,S01,dining,(P03) Um I think like  I don't know like it's  It's it's been a while but it was pretty big. It was like two two levels.  If you actually wanted like a bunk 
140,S01_P04_62_output.wav,4.99,1.43,3.56,0.00,0.00,1,P03,M,S01,dining,(P03) Do you do any like other  Like sports like volleyball or? 
141,S01_P04_64_output.wav,4.27,1.11,3.16,0.00,0.00,1,P03,M,S01,dining,(P03) Other people. Right?  And then you just get some kind of like  Payback later 
142,S01_P04_65_output.wav,4.99,0.53,4.46,0.00,0.00,1,P03,M,S01,living,(P03) Yeah. Basically I can give you a description.  Um get your teammate to guess the animal on the card without saying any part of the animal name 
143,S01_P04_66_output.wav,4.99,0.93,4.06,0.00,0.00,1,P03,M,S01,kitchen,(P03) Should we put this in tupperware? Like this meat? 
86,S01_P04_6_output.wav,4.70,0.80,3.58,0.32,0.00,2,P01 P03,FM,S01,dining,(unknown) [redacted] (P03) Mhm. (P01) And because I live near Central Park and there's like twelve courts there 
87,S01_P04_7_output.wav,4.99,1.15,3.45,0.39,0.00,2,P01 P03,FM,S01,dining,"(P03) Mhm. (P01) We're more of the intermediate group, but.  Yeah. Pretty good group of people. "
88,S01_P04_8_output.wav,4.71,1.14,2.98,0.59,0.00,2,P01 P03,FM,S01,dining,"(P01) Mhm. (P03) Then uh English Bay or Sunset Beach.  Really convenient. (P01) Okay, yeah. "
89,S01_P04_9_output.wav,4.99,1.53,2.48,0.98,0.00,2,P01 P03,FM,S01,dining,"(P03) I didn't, I didn't see much of Canada Day. I just (P01) Oh yeah? Why didn't you go? "
39,S21_P45_0_output.wav,4.99,1.59,3.15,0.25,0.00,2,P46 P47 P48,FM,S21,dining,"(P47) [noise] K, don't overdo it this time. (P46) [noise] [laughs] (P48) [noise] "
49,S21_P45_11_output.wav,4.58,0.76,1.41,2.41,0.00,2,P46 P47,FM,S21,living,"(P46) Oh, thank you.  [laughs] (P47) So I get three, right, cuz you get six? (P46) Yeah. "
50,S21_P45_12_output.wav,4.99,1.94,2.47,0.58,0.00,2,P46 P47,FM,S21,living,"(P47) Sushi Go, right?  Sushi Go, yeah? Okay. (P46) Yeah. "
51,S21_P45_13_output.wav,4.23,0.94,3.29,0.00,0.00,1,P46 P47,FM,S21,living,"(P47) Oh, good thing I asked. (P46) Doesn't it? (P47) Can you double check before I play my card? "
52,S21_P45_14_output.wav,4.38,0.92,2.83,0.63,0.00,2,P46 P47,FM,S21,living,"(P46) Oh. (P47) Oh. (P46) Oh, yeah, something's wrong, then. (P47) Should we just redo this round? "
53,S21_P45_15_output.wav,4.99,1.33,2.09,1.55,0.02,3,P46 P47 P48,FM,S21,living,(P48) Oh. (P47) Who's ready to reveal? (P46) Me. (P47) Me. (P48) Okay. 
54,S21_P45_16_output.wav,4.99,0.51,0.87,2.49,1.12,3,P46 P47 P48,FM,S21,living,"(P47) That's why Wendy's a little delayed, because you're not sending to her full kit. (P46) Oh, neat.  I am. (P48) [laughs] "
55,S21_P45_17_output.wav,4.99,0.64,1.95,1.00,1.40,3,P46 P47 P48,FM,S21,living,"(P46) Hold your horses, Basher. [laughs] (P47) [laughs] (P48) [laughs] "
56,S21_P45_18_output.wav,4.50,1.41,2.94,0.15,0.00,2,P45 P46 P47,FM,S21,living,(P45) One. (P47) You're supposed to reveal. (P46) I did. (P47) Did you reveal? 
57,S21_P45_19_output.wav,4.00,0.98,2.48,0.54,0.00,2,P46 P47 P48,FM,S21,living,(P48) Yeah. (P46) Useless. Useless. (P47) We all got a useless one. 
40,S21_P45_1_output.wav,4.67,1.41,2.30,0.96,0.00,2,P46 P47,FM,S21,dining,"(P46) You have to be yourself. (P47) [noise] They should put a disclosure in there, peep. (P46) [laughs] "
58,S21_P45_20_output.wav,4.99,1.39,3.41,0.19,0.00,2,P46 P47,FM,S21,living,(P47) Reveal? (P46) No.  Just k- just a minute. 
59,S21_P45_21_output.wav,4.87,1.19,3.43,0.25,0.00,2,P46 P47,FM,S21,kitchen,"(P47) Are you going to cut are you going to cut that, Tia? (P46) What?  No, u- well, I'm going to wash it first. (P47) Okay. (P46) Um "
60,S21_P45_22_output.wav,4.99,1.44,2.08,1.47,0.00,2,P46 P47 P48,FM,S21,kitchen,(P47) Can I should I just call you p forty five? (P48) [laughs] (P46) [laughs]  Thanks. (P48) Thanks. 
61,S21_P45_23_output.wav,4.99,1.77,2.14,1.08,0.00,2,P46 P47,FM,S21,kitchen,"(P46) Do you work today, Charles?  No, you don't work. (P47) I did. Mhm. (P46) Oh, you did? "
62,S21_P45_24_output.wav,4.75,0.55,2.80,1.40,0.00,2,P46 P47,FM,S21,kitchen,"(P47) It's a girl thing where they do this [noise]. (P46) Oh, member, member [inaudible 0:22:03.60] last year? (P47) Oh, gosh. (P46) Was that my braid? "
63,S21_P45_25_output.wav,4.66,0.73,0.73,3.20,0.00,2,P45 P46 P47,FM,S21,kitchen,"(P45) Why, you almost ripped your ear off at home? (P46) No, when I get mad, I whip my I whip my braid, right, yeah? (P47) Uh, let's just say Tia wasn't very happy. "
64,S21_P45_26_output.wav,4.37,0.92,3.45,0.00,0.00,1,P46 P47,FM,S21,kitchen,"(P46) Yeah, you do. Okay. Okay, cool.  Okay, scoop away. (P47) I'll scoop. I l- I'll do the portion. "
