,subset,stimulus,subjects
76,2,1/S21_P45_49_output.wav,[ 9 10 11 12 13 14 15 16]
75,2,2/S01_P04_191_output.wav,[ 9 10 11 12 13 14 15 16]
74,2,3/S01_P04_25_output.wav,[ 9 10 11 12 13 14 15 16]
78,2,2/S21_P45_97_output.wav,[ 9 10 11 12 13 14 15 16]
157,3,3/S01_P04_7_output.wav,[17 18 19 20 21 22 23 24]
156,3,2/S01_P02_114_output.wav,[17 18 19 20 21 22 23 24]
155,3,1/S01_P02_221_output.wav,[17 18 19 20 21 22 23 24]
154,3,3/S01_P04_40_output.wav,[17 18 19 20 21 22 23 24]
153,3,2/S21_P47_56_output.wav,[17 18 19 20 21 22 23 24]
158,3,1/S01_P03_284_output.wav,[17 18 19 20 21 22 23 24]
151,3,1/S01_P04_105_output.wav,[17 18 19 20 21 22 23 24]
149,3,2/S21_P45_129_output.wav,[17 18 19 20 21 22 23 24]
148,3,2/S01_P04_115_output.wav,[17 18 19 20 21 22 23 24]
147,3,2/S21_P46_84_output.wav,[17 18 19 20 21 22 23 24]
152,3,1/S01_P02_503_output.wav,[17 18 19 20 21 22 23 24]
150,3,3/S01_P03_22_output.wav,[17 18 19 20 21 22 23 24]
173,3,2/S21_P47_165_output.wav,[17 18 19 20 21 22 23 24]
161,3,1/S21_P47_122_output.wav,[17 18 19 20 21 22 23 24]
162,3,2/S01_P04_15_output.wav,[17 18 19 20 21 22 23 24]
163,3,1/S01_P04_308_output.wav,[17 18 19 20 21 22 23 24]
164,3,1/S21_P47_96_output.wav,[17 18 19 20 21 22 23 24]
165,3,1/S21_P47_451_output.wav,[17 18 19 20 21 22 23 24]
166,3,2/S01_P04_218_output.wav,[17 18 19 20 21 22 23 24]
167,3,1/S21_P47_252_output.wav,[17 18 19 20 21 22 23 24]
168,3,1/S01_P02_109_output.wav,[17 18 19 20 21 22 23 24]
169,3,1/S01_P03_389_output.wav,[17 18 19 20 21 22 23 24]
170,3,1/S01_P01_375_output.wav,[17 18 19 20 21 22 23 24]
171,3,1/S01_P03_455_output.wav,[17 18 19 20 21 22 23 24]
172,3,2/S01_P02_146_output.wav,[17 18 19 20 21 22 23 24]
146,3,2/S21_P45_49_output.wav,[17 18 19 20 21 22 23 24]
160,3,2/S21_P45_170_output.wav,[17 18 19 20 21 22 23 24]
145,3,1/S01_P02_483_output.wav,[17 18 19 20 21 22 23 24]
159,3,1/S01_P02_16_output.wav,[17 18 19 20 21 22 23 24]
143,3,2/S21_P47_39_output.wav,[17 18 19 20 21 22 23 24]
116,3,3/S01_P03_35_output.wav,[17 18 19 20 21 22 23 24]
117,3,1/S01_P02_332_output.wav,[17 18 19 20 21 22 23 24]
118,3,2/S21_P47_231_output.wav,[17 18 19 20 21 22 23 24]
119,3,3/S21_P45_32_output.wav,[17 18 19 20 21 22 23 24]
120,3,1/S21_P47_290_output.wav,[17 18 19 20 21 22 23 24]
121,3,1/S01_P03_509_output.wav,[17 18 19 20 21 22 23 24]
122,3,1/S01_P02_424_output.wav,[17 18 19 20 21 22 23 24]
144,3,2/S01_P04_245_output.wav,[17 18 19 20 21 22 23 24]
124,3,2/S01_P01_134_output.wav,[17 18 19 20 21 22 23 24]
125,3,1/S21_P45_117_output.wav,[17 18 19 20 21 22 23 24]
126,3,2/S21_P46_68_output.wav,[17 18 19 20 21 22 23 24]
127,3,2/S21_P46_35_output.wav,[17 18 19 20 21 22 23 24]
128,3,1/S01_P01_259_output.wav,[17 18 19 20 21 22 23 24]
123,3,1/S21_P46_301_output.wav,[17 18 19 20 21 22 23 24]
130,3,1/S01_P04_273_output.wav,[17 18 19 20 21 22 23 24]
129,3,1/S01_P04_327_output.wav,[17 18 19 20 21 22 23 24]
141,3,3/S01_P03_25_output.wav,[17 18 19 20 21 22 23 24]
140,3,2/S01_P04_36_output.wav,[17 18 19 20 21 22 23 24]
139,3,2/S21_P45_88_output.wav,[17 18 19 20 21 22 23 24]
138,3,1/S21_P47_231_output.wav,[17 18 19 20 21 22 23 24]
137,3,2/S01_P04_64_output.wav,[17 18 19 20 21 22 23 24]
142,3,3/S21_P47_3_output.wav,[17 18 19 20 21 22 23 24]
135,3,1/S01_P01_255_output.wav,[17 18 19 20 21 22 23 24]
134,3,2/S21_P45_212_output.wav,[17 18 19 20 21 22 23 24]
133,3,2/S01_P01_37_output.wav,[17 18 19 20 21 22 23 24]
132,3,1/S01_P02_123_output.wav,[17 18 19 20 21 22 23 24]
131,3,1/S01_P02_174_output.wav,[17 18 19 20 21 22 23 24]
136,3,2/S21_P45_268_output.wav,[17 18 19 20 21 22 23 24]
214,4,3/S21_P45_20_output.wav,[25 26 27 28 29 30 31 32]
213,4,1/S01_P04_377_output.wav,[25 26 27 28 29 30 31 32]
212,4,1/S01_P03_154_output.wav,[25 26 27 28 29 30 31 32]
211,4,1/S01_P01_351_output.wav,[25 26 27 28 29 30 31 32]
210,4,2/S01_P04_96_output.wav,[25 26 27 28 29 30 31 32]
207,4,1/S01_P04_416_output.wav,[25 26 27 28 29 30 31 32]
208,4,2/S21_P47_18_output.wav,[25 26 27 28 29 30 31 32]
206,4,3/S01_P03_26_output.wav,[25 26 27 28 29 30 31 32]
205,4,2/S21_P45_75_output.wav,[25 26 27 28 29 30 31 32]
204,4,1/S01_P01_170_output.wav,[25 26 27 28 29 30 31 32]
209,4,1/S21_P46_34_output.wav,[25 26 27 28 29 30 31 32]
215,4,1/S01_P04_97_output.wav,[25 26 27 28 29 30 31 32]
229,4,1/S01_P02_266_output.wav,[25 26 27 28 29 30 31 32]
217,4,1/S01_P03_362_output.wav,[25 26 27 28 29 30 31 32]
218,4,2/S21_P47_35_output.wav,[25 26 27 28 29 30 31 32]
219,4,1/S01_P02_301_output.wav,[25 26 27 28 29 30 31 32]
220,4,1/S21_P47_507_output.wav,[25 26 27 28 29 30 31 32]
221,4,2/S01_P01_110_output.wav,[25 26 27 28 29 30 31 32]
222,4,2/S01_P04_253_output.wav,[25 26 27 28 29 30 31 32]
223,4,1/S21_P47_310_output.wav,[25 26 27 28 29 30 31 32]
224,4,1/S21_P46_200_output.wav,[25 26 27 28 29 30 31 32]
225,4,1/S01_P02_553_output.wav,[25 26 27 28 29 30 31 32]
226,4,1/S01_P03_479_output.wav,[25 26 27 28 29 30 31 32]
227,4,2/S21_P46_114_output.wav,[25 26 27 28 29 30 31 32]
228,4,1/S21_P46_326_output.wav,[25 26 27 28 29 30 31 32]
203,4,1/S01_P04_279_output.wav,[25 26 27 28 29 30 31 32]
216,4,2/S21_P45_117_output.wav,[25 26 27 28 29 30 31 32]
202,4,1/S21_P45_337_output.wav,[25 26 27 28 29 30 31 32]
188,4,2/S21_P45_193_output.wav,[25 26 27 28 29 30 31 32]
200,4,3/S01_P02_25_output.wav,[25 26 27 28 29 30 31 32]
230,4,3/S01_P04_4_output.wav,[25 26 27 28 29 30 31 32]
174,4,1/S21_P45_193_output.wav,[25 26 27 28 29 30 31 32]
175,4,1/S21_P45_465_output.wav,[25 26 27 28 29 30 31 32]
176,4,2/S01_P01_118_output.wav,[25 26 27 28 29 30 31 32]
177,4,2/S01_P04_223_output.wav,[25 26 27 28 29 30 31 32]
178,4,2/S21_P47_90_output.wav,[25 26 27 28 29 30 31 32]
179,4,1/S01_P03_66_output.wav,[25 26 27 28 29 30 31 32]
180,4,1/S01_P01_209_output.wav,[25 26 27 28 29 30 31 32]
181,4,1/S21_P46_361_output.wav,[25 26 27 28 29 30 31 32]
182,4,2/S21_P45_136_output.wav,[25 26 27 28 29 30 31 32]
183,4,1/S01_P01_285_output.wav,[25 26 27 28 29 30 31 32]
184,4,2/S21_P47_32_output.wav,[25 26 27 28 29 30 31 32]
201,4,1/S01_P02_232_output.wav,[25 26 27 28 29 30 31 32]
185,4,1/S01_P02_461_output.wav,[25 26 27 28 29 30 31 32]
187,4,2/S21_P45_208_output.wav,[25 26 27 28 29 30 31 32]
189,4,2/S01_P02_178_output.wav,[25 26 27 28 29 30 31 32]
190,4,1/S01_P02_396_output.wav,[25 26 27 28 29 30 31 32]
191,4,2/S01_P04_54_output.wav,[25 26 27 28 29 30 31 32]
192,4,1/S01_P01_215_output.wav,[25 26 27 28 29 30 31 32]
193,4,3/S21_P47_9_output.wav,[25 26 27 28 29 30 31 32]
194,4,2/S21_P47_4_output.wav,[25 26 27 28 29 30 31 32]
195,4,1/S01_P01_315_output.wav,[25 26 27 28 29 30 31 32]
196,4,1/S01_P01_250_output.wav,[25 26 27 28 29 30 31 32]
197,4,1/S21_P47_34_output.wav,[25 26 27 28 29 30 31 32]
198,4,3/S01_P04_31_output.wav,[25 26 27 28 29 30 31 32]
199,4,1/S01_P02_170_output.wav,[25 26 27 28 29 30 31 32]
186,4,3/S01_P04_64_output.wav,[25 26 27 28 29 30 31 32]
231,4,2/S01_P03_152_output.wav,[25 26 27 28 29 30 31 32]
