,subset,session,identifier,num_spk,first_scale,subjects
208,1,4,S21_P45_27_output,3,BAK,[1 2 3 4 5 6 7 8]
209,1,4,S01_P04_40_output,3,BAK,[1 2 3 4 5 6 7 8]
30,2,1,S21_P47_82_output,1,SIG,[ 9 10 11 12 13 14 15 16]
31,2,1,S21_P45_60_output,1,SIG,[ 9 10 11 12 13 14 15 16]
32,2,1,S21_P45_271_output,1,SIG,[ 9 10 11 12 13 14 15 16]
33,2,1,S01_P02_301_output,1,SIG,[ 9 10 11 12 13 14 15 16]
34,2,1,S01_P02_203_output,1,SIG,[ 9 10 11 12 13 14 15 16]
35,2,1,S01_P02_424_output,1,SIG,[ 9 10 11 12 13 14 15 16]
36,2,1,S01_P03_362_output,1,SIG,[ 9 10 11 12 13 14 15 16]
37,2,2,S01_P02_46_output,1,SIG,[ 9 10 11 12 13 14 15 16]
38,2,2,S01_P02_503_output,1,SIG,[ 9 10 11 12 13 14 15 16]
39,2,2,S21_P45_117_output,1,SIG,[ 9 10 11 12 13 14 15 16]
40,2,2,S01_P02_216_output,1,SIG,[ 9 10 11 12 13 14 15 16]
41,2,2,S21_P47_96_output,1,SIG,[ 9 10 11 12 13 14 15 16]
42,2,2,S01_P01_250_output,1,SIG,[ 9 10 11 12 13 14 15 16]
43,2,2,S21_P46_361_output,1,SIG,[ 9 10 11 12 13 14 15 16]
44,2,3,S21_P47_259_output,1,BAK,[ 9 10 11 12 13 14 15 16]
45,2,3,S01_P04_97_output,1,BAK,[ 9 10 11 12 13 14 15 16]
46,2,3,S21_P45_465_output,1,BAK,[ 9 10 11 12 13 14 15 16]
47,2,3,S21_P47_105_output,1,BAK,[ 9 10 11 12 13 14 15 16]
48,2,3,S01_P02_581_output,1,BAK,[ 9 10 11 12 13 14 15 16]
49,2,3,S01_P02_254_output,1,BAK,[ 9 10 11 12 13 14 15 16]
50,2,3,S01_P04_279_output,1,BAK,[ 9 10 11 12 13 14 15 16]
51,2,4,S01_P01_375_output,1,BAK,[ 9 10 11 12 13 14 15 16]
52,2,4,S01_P02_123_output,1,BAK,[ 9 10 11 12 13 14 15 16]
53,2,4,S21_P45_176_output,1,BAK,[ 9 10 11 12 13 14 15 16]
54,2,4,S01_P01_215_output,1,BAK,[ 9 10 11 12 13 14 15 16]
55,2,4,S01_P02_553_output,1,BAK,[ 9 10 11 12 13 14 15 16]
56,2,4,S21_P47_451_output,1,BAK,[ 9 10 11 12 13 14 15 16]
57,2,4,S01_P01_351_output,1,BAK,[ 9 10 11 12 13 14 15 16]
138,2,1,S21_P46_26_output,2,SIG,[ 9 10 11 12 13 14 15 16]
139,2,1,S01_P04_256_output,2,SIG,[ 9 10 11 12 13 14 15 16]
140,2,1,S01_P01_35_output,2,SIG,[ 9 10 11 12 13 14 15 16]
141,2,1,S21_P45_98_output,2,SIG,[ 9 10 11 12 13 14 15 16]
142,2,1,S21_P47_234_output,2,SIG,[ 9 10 11 12 13 14 15 16]
143,2,1,S21_P45_268_output,2,SIG,[ 9 10 11 12 13 14 15 16]
144,2,2,S21_P47_90_output,2,SIG,[ 9 10 11 12 13 14 15 16]
145,2,2,S21_P47_231_output,2,SIG,[ 9 10 11 12 13 14 15 16]
146,2,2,S21_P47_39_output,2,SIG,[ 9 10 11 12 13 14 15 16]
147,2,2,S21_P45_75_output,2,SIG,[ 9 10 11 12 13 14 15 16]
148,2,2,S21_P45_121_output,2,SIG,[ 9 10 11 12 13 14 15 16]
149,2,3,S01_P02_210_output,2,BAK,[ 9 10 11 12 13 14 15 16]
150,2,3,S01_P04_36_output,2,BAK,[ 9 10 11 12 13 14 15 16]
151,2,3,S01_P01_110_output,2,BAK,[ 9 10 11 12 13 14 15 16]
152,2,3,S21_P47_9_output,2,BAK,[ 9 10 11 12 13 14 15 16]
153,2,3,S21_P46_69_output,2,BAK,[ 9 10 11 12 13 14 15 16]
154,2,4,S21_P47_73_output,2,BAK,[ 9 10 11 12 13 14 15 16]
155,2,4,S21_P47_4_output,2,BAK,[ 9 10 11 12 13 14 15 16]
156,2,4,S01_P01_83_output,2,BAK,[ 9 10 11 12 13 14 15 16]
157,2,4,S21_P45_102_output,2,BAK,[ 9 10 11 12 13 14 15 16]
158,2,4,S01_P04_96_output,2,BAK,[ 9 10 11 12 13 14 15 16]
210,2,1,S21_P45_20_output,3,SIG,[ 9 10 11 12 13 14 15 16]
211,2,1,S01_P03_22_output,3,SIG,[ 9 10 11 12 13 14 15 16]
212,2,2,S21_P47_10_output,3,SIG,[ 9 10 11 12 13 14 15 16]
213,2,2,S01_P03_32_output,3,SIG,[ 9 10 11 12 13 14 15 16]
214,2,3,S21_P47_9_output,3,BAK,[ 9 10 11 12 13 14 15 16]
215,2,3,S01_P04_3_output,3,BAK,[ 9 10 11 12 13 14 15 16]
216,2,4,S01_P02_25_output,3,BAK,[ 9 10 11 12 13 14 15 16]
217,2,4,S01_P01_25_output,3,BAK,[ 9 10 11 12 13 14 15 16]
58,3,1,S01_P02_483_output,1,BAK,[17 18 19 20 21 22 23 24]
59,3,1,S01_P01_170_output,1,BAK,[17 18 19 20 21 22 23 24]
60,3,1,S01_P02_431_output,1,BAK,[17 18 19 20 21 22 23 24]
61,3,1,S21_P47_231_output,1,BAK,[17 18 19 20 21 22 23 24]
62,3,1,S01_P03_154_output,1,BAK,[17 18 19 20 21 22 23 24]
63,3,1,S01_P03_389_output,1,BAK,[17 18 19 20 21 22 23 24]
64,3,1,S01_P01_255_output,1,BAK,[17 18 19 20 21 22 23 24]
65,3,2,S01_P03_227_output,1,BAK,[17 18 19 20 21 22 23 24]
66,3,2,S01_P03_509_output,1,BAK,[17 18 19 20 21 22 23 24]
67,3,2,S21_P47_438_output,1,BAK,[17 18 19 20 21 22 23 24]
68,3,2,S21_P47_34_output,1,BAK,[17 18 19 20 21 22 23 24]
69,3,2,S01_P04_69_output,1,BAK,[17 18 19 20 21 22 23 24]
70,3,2,S01_P03_147_output,1,BAK,[17 18 19 20 21 22 23 24]
71,3,2,S01_P02_396_output,1,BAK,[17 18 19 20 21 22 23 24]
72,3,3,S01_P02_194_output,1,SIG,[17 18 19 20 21 22 23 24]
73,3,3,S21_P47_151_output,1,SIG,[17 18 19 20 21 22 23 24]
74,3,3,S01_P01_145_output,1,SIG,[17 18 19 20 21 22 23 24]
75,3,3,S21_P47_192_output,1,SIG,[17 18 19 20 21 22 23 24]
76,3,3,S21_P47_186_output,1,SIG,[17 18 19 20 21 22 23 24]
77,3,3,S21_P47_535_output,1,SIG,[17 18 19 20 21 22 23 24]
78,3,3,S01_P02_16_output,1,SIG,[17 18 19 20 21 22 23 24]
79,3,3,S01_P03_284_output,1,SIG,[17 18 19 20 21 22 23 24]
80,3,4,S01_P01_141_output,1,SIG,[17 18 19 20 21 22 23 24]
81,3,4,S01_P02_169_output,1,SIG,[17 18 19 20 21 22 23 24]
82,3,4,S21_P45_43_output,1,SIG,[17 18 19 20 21 22 23 24]
83,3,4,S21_P46_34_output,1,SIG,[17 18 19 20 21 22 23 24]
84,3,4,S21_P45_237_output,1,SIG,[17 18 19 20 21 22 23 24]
85,3,4,S01_P03_479_output,1,SIG,[17 18 19 20 21 22 23 24]
86,3,4,S21_P45_349_output,1,SIG,[17 18 19 20 21 22 23 24]
159,3,1,S21_P46_24_output,2,BAK,[17 18 19 20 21 22 23 24]
160,3,1,S01_P04_113_output,2,BAK,[17 18 19 20 21 22 23 24]
161,3,1,S21_P45_129_output,2,BAK,[17 18 19 20 21 22 23 24]
162,3,1,S01_P04_9_output,2,BAK,[17 18 19 20 21 22 23 24]
163,3,1,S01_P04_15_output,2,BAK,[17 18 19 20 21 22 23 24]
164,3,1,S21_P46_84_output,2,BAK,[17 18 19 20 21 22 23 24]
165,3,2,S21_P45_193_output,2,BAK,[17 18 19 20 21 22 23 24]
166,3,2,S01_P02_114_output,2,BAK,[17 18 19 20 21 22 23 24]
167,3,2,S21_P45_88_output,2,BAK,[17 18 19 20 21 22 23 24]
168,3,2,S01_P03_73_output,2,BAK,[17 18 19 20 21 22 23 24]
169,3,2,S01_P02_158_output,2,BAK,[17 18 19 20 21 22 23 24]
170,3,3,S01_P04_115_output,2,SIG,[17 18 19 20 21 22 23 24]
171,3,3,S01_P04_54_output,2,SIG,[17 18 19 20 21 22 23 24]
172,3,3,S01_P04_191_output,2,SIG,[17 18 19 20 21 22 23 24]
173,3,3,S01_P04_64_output,2,SIG,[17 18 19 20 21 22 23 24]
174,3,3,S01_P01_34_output,2,SIG,[17 18 19 20 21 22 23 24]
175,3,4,S21_P45_49_output,2,SIG,[17 18 19 20 21 22 23 24]
176,3,4,S21_P46_118_output,2,SIG,[17 18 19 20 21 22 23 24]
177,3,4,S21_P45_97_output,2,SIG,[17 18 19 20 21 22 23 24]
178,3,4,S21_P46_5_output,2,SIG,[17 18 19 20 21 22 23 24]
179,3,4,S21_P47_237_output,2,SIG,[17 18 19 20 21 22 23 24]
180,3,4,S01_P02_232_output,2,SIG,[17 18 19 20 21 22 23 24]
218,3,1,S01_P03_26_output,3,BAK,[17 18 19 20 21 22 23 24]
219,3,1,S01_P01_23_output,3,BAK,[17 18 19 20 21 22 23 24]
220,3,2,S01_P04_24_output,3,BAK,[17 18 19 20 21 22 23 24]
221,3,3,S01_P04_47_output,3,SIG,[17 18 19 20 21 22 23 24]
222,3,3,S01_P04_2_output,3,SIG,[17 18 19 20 21 22 23 24]
223,3,4,S21_P45_19_output,3,SIG,[17 18 19 20 21 22 23 24]
224,3,4,S01_P04_25_output,3,SIG,[17 18 19 20 21 22 23 24]
87,4,1,S01_P01_384_output,1,BAK,[25 26 27 28 29 30 31 32]
88,4,1,S01_P02_266_output,1,BAK,[25 26 27 28 29 30 31 32]
89,4,1,S21_P45_193_output,1,BAK,[25 26 27 28 29 30 31 32]
90,4,1,S21_P46_323_output,1,BAK,[25 26 27 28 29 30 31 32]
91,4,1,S01_P04_308_output,1,BAK,[25 26 27 28 29 30 31 32]
92,4,1,S01_P02_221_output,1,BAK,[25 26 27 28 29 30 31 32]
93,4,1,S01_P02_109_output,1,BAK,[25 26 27 28 29 30 31 32]
94,4,2,S21_P47_252_output,1,BAK,[25 26 27 28 29 30 31 32]
95,4,2,S21_P46_13_output,1,BAK,[25 26 27 28 29 30 31 32]
96,4,2,S01_P04_377_output,1,BAK,[25 26 27 28 29 30 31 32]
97,4,2,S21_P45_337_output,1,BAK,[25 26 27 28 29 30 31 32]
98,4,2,S01_P04_290_output,1,BAK,[25 26 27 28 29 30 31 32]
99,4,2,S21_P47_299_output,1,BAK,[25 26 27 28 29 30 31 32]
100,4,2,S01_P03_198_output,1,BAK,[25 26 27 28 29 30 31 32]
101,4,3,S21_P45_101_output,1,SIG,[25 26 27 28 29 30 31 32]
102,4,3,S21_P47_75_output,1,SIG,[25 26 27 28 29 30 31 32]
103,4,3,S21_P47_302_output,1,SIG,[25 26 27 28 29 30 31 32]
104,4,3,S01_P02_212_output,1,SIG,[25 26 27 28 29 30 31 32]
105,4,3,S01_P03_66_output,1,SIG,[25 26 27 28 29 30 31 32]
106,4,3,S01_P01_259_output,1,SIG,[25 26 27 28 29 30 31 32]
107,4,3,S21_P46_301_output,1,SIG,[25 26 27 28 29 30 31 32]
108,4,3,S01_P02_232_output,1,SIG,[25 26 27 28 29 30 31 32]
109,4,4,S01_P04_327_output,1,SIG,[25 26 27 28 29 30 31 32]
110,4,4,S01_P01_216_output,1,SIG,[25 26 27 28 29 30 31 32]
111,4,4,S21_P47_117_output,1,SIG,[25 26 27 28 29 30 31 32]
112,4,4,S01_P04_315_output,1,SIG,[25 26 27 28 29 30 31 32]
113,4,4,S01_P02_145_output,1,SIG,[25 26 27 28 29 30 31 32]
114,4,4,S21_P45_390_output,1,SIG,[25 26 27 28 29 30 31 32]
115,4,4,S21_P46_200_output,1,SIG,[25 26 27 28 29 30 31 32]
181,4,1,S01_P01_118_output,2,BAK,[25 26 27 28 29 30 31 32]
182,4,1,S21_P45_136_output,2,BAK,[25 26 27 28 29 30 31 32]
183,4,1,S21_P45_24_output,2,BAK,[25 26 27 28 29 30 31 32]
184,4,1,S01_P04_166_output,2,BAK,[25 26 27 28 29 30 31 32]
185,4,1,S01_P04_245_output,2,BAK,[25 26 27 28 29 30 31 32]
186,4,1,S01_P04_42_output,2,BAK,[25 26 27 28 29 30 31 32]
187,4,2,S01_P04_208_output,2,BAK,[25 26 27 28 29 30 31 32]
188,4,2,S01_P03_152_output,2,BAK,[25 26 27 28 29 30 31 32]
189,4,2,S21_P45_208_output,2,BAK,[25 26 27 28 29 30 31 32]
190,4,2,S21_P47_18_output,2,BAK,[25 26 27 28 29 30 31 32]
191,4,2,S21_P46_93_output,2,BAK,[25 26 27 28 29 30 31 32]
192,4,3,S21_P45_212_output,2,SIG,[25 26 27 28 29 30 31 32]
193,4,3,S01_P01_134_output,2,SIG,[25 26 27 28 29 30 31 32]
194,4,3,S21_P45_118_output,2,SIG,[25 26 27 28 29 30 31 32]
195,4,3,S21_P47_165_output,2,SIG,[25 26 27 28 29 30 31 32]
196,4,3,S01_P04_82_output,2,SIG,[25 26 27 28 29 30 31 32]
197,4,4,S01_P03_126_output,2,SIG,[25 26 27 28 29 30 31 32]
198,4,4,S21_P47_56_output,2,SIG,[25 26 27 28 29 30 31 32]
199,4,4,S21_P47_35_output,2,SIG,[25 26 27 28 29 30 31 32]
200,4,4,S01_P04_180_output,2,SIG,[25 26 27 28 29 30 31 32]
201,4,4,S01_P01_88_output,2,SIG,[25 26 27 28 29 30 31 32]
202,4,4,S01_P04_223_output,2,SIG,[25 26 27 28 29 30 31 32]
225,4,1,S01_P03_13_output,3,BAK,[25 26 27 28 29 30 31 32]
226,4,2,S01_P04_4_output,3,BAK,[25 26 27 28 29 30 31 32]
227,4,2,S01_P03_35_output,3,BAK,[25 26 27 28 29 30 31 32]
228,4,3,S21_P47_3_output,3,SIG,[25 26 27 28 29 30 31 32]
229,4,3,S21_P45_32_output,3,SIG,[25 26 27 28 29 30 31 32]
230,4,4,S01_P04_1_output,3,SIG,[25 26 27 28 29 30 31 32]
231,4,4,S01_P04_10_output,3,SIG,[25 26 27 28 29 30 31 32]
